test_id,label
0,Forest
1,River
2,Forest
3,Forest
4,River
5,AnnualCrop
6,Forest
7,SeaLake
8,Forest
9,Highway
10,SeaLake
11,SeaLake
12,Industrial
13,Industrial
14,Forest
15,Forest
16,SeaLake
17,River
18,HerbaceousVegetation
19,SeaLake
20,Forest
21,Highway
22,SeaLake
23,Forest
24,Highway
25,Industrial
26,Pasture
27,Pasture
28,Pasture
29,Industrial
30,Highway
31,Pasture
32,SeaLake
33,AnnualCrop
34,Pasture
35,River
36,SeaLake
37,Highway
38,Forest
39,SeaLake
40,Forest
41,Pasture
42,Highway
43,Forest
44,Pasture
45,Pasture
46,Forest
47,Forest
48,Pasture
49,Pasture
50,AnnualCrop
51,SeaLake
52,SeaLake
53,Forest
54,Industrial
55,Pasture
56,Residential
57,Pasture
58,Forest
59,Highway
60,Forest
61,River
62,Highway
63,Highway
64,SeaLake
65,SeaLake
66,SeaLake
67,SeaLake
68,River
69,SeaLake
70,Forest
71,Pasture
72,Highway
73,SeaLake
74,Pasture
75,Forest
76,AnnualCrop
77,Forest
78,AnnualCrop
79,Forest
80,Highway
81,HerbaceousVegetation
82,Pasture
83,Highway
84,Forest
85,Forest
86,Forest
87,Highway
88,Forest
89,Forest
90,Forest
91,HerbaceousVegetation
92,Forest
93,Forest
94,AnnualCrop
95,SeaLake
96,Highway
97,Highway
98,Residential
99,Forest
100,SeaLake
101,Residential
102,Forest
103,Residential
104,Pasture
105,Highway
106,Forest
107,AnnualCrop
108,Forest
109,Industrial
110,Industrial
111,Pasture
112,Forest
113,AnnualCrop
114,Forest
115,Forest
116,Forest
117,Highway
118,SeaLake
119,Industrial
120,SeaLake
121,Forest
122,Highway
123,Forest
124,Pasture
125,SeaLake
126,Forest
127,Pasture
128,Highway
129,Industrial
130,Pasture
131,Highway
132,SeaLake
133,Forest
134,Highway
135,Highway
136,Forest
137,Forest
138,River
139,SeaLake
140,Highway
141,SeaLake
142,Highway
143,SeaLake
144,Highway
145,Highway
146,SeaLake
147,Forest
148,Highway
149,Forest
150,Forest
151,Pasture
152,Highway
153,Pasture
154,Highway
155,SeaLake
156,Forest
157,Residential
158,Pasture
159,Forest
160,Residential
161,Industrial
162,Forest
163,Highway
164,Industrial
165,Highway
166,Pasture
167,Pasture
168,Highway
169,Highway
170,River
171,Forest
172,Pasture
173,SeaLake
174,Forest
175,SeaLake
176,Highway
177,Forest
178,Highway
179,SeaLake
180,Industrial
181,Forest
182,Forest
183,Highway
184,PermanentCrop
185,Pasture
186,Forest
187,SeaLake
188,Industrial
189,SeaLake
190,Highway
191,Highway
192,Residential
193,Residential
194,SeaLake
195,Forest
196,Pasture
197,Residential
198,AnnualCrop
199,Pasture
200,Highway
201,Forest
202,Residential
203,Highway
204,Pasture
205,Forest
206,Highway
207,Highway
208,Forest
209,SeaLake
210,SeaLake
211,Forest
212,Residential
213,HerbaceousVegetation
214,Highway
215,Pasture
216,SeaLake
217,Highway
218,Forest
219,Forest
220,Forest
221,SeaLake
222,Industrial
223,Forest
224,SeaLake
225,Forest
226,Forest
227,Forest
228,Forest
229,Pasture
230,SeaLake
231,Pasture
232,Forest
233,River
234,Highway
235,Highway
236,Forest
237,SeaLake
238,Pasture
239,Residential
240,SeaLake
241,Forest
242,River
243,Highway
244,Highway
245,Industrial
246,Pasture
247,AnnualCrop
248,Forest
249,Forest
250,SeaLake
251,SeaLake
252,Industrial
253,Forest
254,Industrial
255,Forest
256,PermanentCrop
257,Forest
258,Highway
259,Pasture
260,Pasture
261,Pasture
262,Forest
263,SeaLake
264,Highway
265,Highway
266,SeaLake
267,Highway
268,Highway
269,Forest
270,SeaLake
271,SeaLake
272,Residential
273,Residential
274,SeaLake
275,River
276,SeaLake
277,Forest
278,HerbaceousVegetation
279,SeaLake
280,SeaLake
281,SeaLake
282,River
283,Residential
284,Highway
285,Forest
286,Highway
287,HerbaceousVegetation
288,Pasture
289,Industrial
290,Forest
291,Highway
292,SeaLake
293,Highway
294,Forest
295,SeaLake
296,River
297,SeaLake
298,SeaLake
299,Highway
300,SeaLake
301,Highway
302,Highway
303,PermanentCrop
304,SeaLake
305,Forest
306,SeaLake
307,PermanentCrop
308,Residential
309,SeaLake
310,Forest
311,AnnualCrop
312,Forest
313,Forest
314,Pasture
315,Highway
316,Industrial
317,PermanentCrop
318,Forest
319,Pasture
320,Forest
321,Highway
322,SeaLake
323,AnnualCrop
324,Highway
325,SeaLake
326,Pasture
327,SeaLake
328,Forest
329,Pasture
330,River
331,Highway
332,Industrial
333,Highway
334,Forest
335,Forest
336,SeaLake
337,Highway
338,PermanentCrop
339,Highway
340,Pasture
341,Forest
342,SeaLake
343,SeaLake
344,Forest
345,SeaLake
346,Residential
347,HerbaceousVegetation
348,Residential
349,SeaLake
350,Pasture
351,HerbaceousVegetation
352,Pasture
353,SeaLake
354,Highway
355,Residential
356,SeaLake
357,SeaLake
358,SeaLake
359,Forest
360,SeaLake
361,AnnualCrop
362,Highway
363,Highway
364,HerbaceousVegetation
365,Pasture
