test_id,label
0,Industrial
1,Pasture
2,Pasture
3,Pasture
4,Industrial
5,AnnualCrop
6,SeaLake
7,SeaLake
8,AnnualCrop
9,SeaLake
10,River
11,SeaLake
12,AnnualCrop
13,AnnualCrop
14,Residential
15,Pasture
16,Pasture
17,SeaLake
18,HerbaceousVegetation
19,Pasture
20,Industrial
21,HerbaceousVegetation
22,Industrial
23,Pasture
24,Industrial
25,Residential
26,Pasture
27,SeaLake
28,Forest
29,AnnualCrop
30,SeaLake
31,Pasture
32,SeaLake
33,Industrial
34,Pasture
35,SeaLake
36,River
37,River
38,River
39,SeaLake
40,SeaLake
41,Pasture
42,SeaLake
43,Pasture
44,Industrial
45,Pasture
46,AnnualCrop
47,SeaLake
48,Pasture
49,Pasture
50,Pasture
51,Pasture
52,Industrial
53,Pasture
54,Pasture
55,Highway
56,SeaLake
57,HerbaceousVegetation
58,Pasture
59,Highway
60,Forest
61,Residential
62,Pasture
63,SeaLake
64,AnnualCrop
65,Residential
66,Pasture
67,Pasture
68,SeaLake
69,Pasture
70,Pasture
71,Industrial
72,Highway
73,Pasture
74,SeaLake
75,River
76,HerbaceousVegetation
77,SeaLake
78,SeaLake
79,Industrial
80,AnnualCrop
81,Residential
82,River
83,SeaLake
84,AnnualCrop
85,SeaLake
86,Pasture
87,Pasture
88,Highway
89,SeaLake
90,Pasture
91,Highway
92,Industrial
93,Industrial
94,SeaLake
95,AnnualCrop
96,Industrial
97,Highway
98,River
99,River
100,Pasture
101,SeaLake
102,Pasture
103,Pasture
104,Industrial
105,SeaLake
106,Pasture
107,AnnualCrop
108,SeaLake
109,AnnualCrop
110,River
111,Industrial
112,Industrial
113,Pasture
114,Pasture
115,Forest
116,HerbaceousVegetation
117,Residential
118,AnnualCrop
119,River
120,Residential
121,Residential
122,SeaLake
123,SeaLake
124,SeaLake
125,SeaLake
126,AnnualCrop
127,Pasture
128,Pasture
129,Industrial
130,Pasture
131,River
132,Residential
133,Residential
134,River
135,SeaLake
136,Highway
137,River
138,AnnualCrop
139,HerbaceousVegetation
140,SeaLake
141,Pasture
142,Residential
143,River
144,Pasture
145,Highway
146,HerbaceousVegetation
147,SeaLake
148,Residential
149,River
150,SeaLake
151,River
152,Industrial
153,HerbaceousVegetation
154,River
155,SeaLake
156,AnnualCrop
157,Pasture
158,Residential
159,Pasture
