test_id,label
0,HerbaceousVegetation
1,Residential
2,Forest
3,Forest
4,Highway
5,Highway
6,Forest
7,Forest
8,Forest
9,Pasture
10,Forest
11,Forest
12,Industrial
13,Industrial
14,Forest
15,Forest
16,Forest
17,River
18,PermanentCrop
19,HerbaceousVegetation
20,Forest
21,Industrial
22,Forest
23,Forest
24,Forest
25,Industrial
26,PermanentCrop
27,PermanentCrop
28,HerbaceousVegetation
29,Industrial
30,Forest
31,Highway
32,Forest
33,PermanentCrop
34,PermanentCrop
35,Highway
36,Forest
37,Highway
38,Forest
39,Forest
40,Forest
41,Pasture
42,Industrial
43,Forest
44,Pasture
45,River
46,Forest
47,Forest
48,HerbaceousVegetation
49,HerbaceousVegetation
50,Highway
51,AnnualCrop
52,Forest
53,HerbaceousVegetation
54,Industrial
55,PermanentCrop
56,Residential
57,River
58,Forest
59,Industrial
60,Pasture
61,Pasture
62,Residential
63,River
64,Forest
65,Forest
66,Forest
67,Forest
68,HerbaceousVegetation
69,Forest
70,Forest
71,HerbaceousVegetation
72,Industrial
73,Forest
74,Highway
75,Highway
76,PermanentCrop
77,Forest
78,HerbaceousVegetation
79,Forest
80,Highway
81,Forest
82,Highway
83,Residential
84,Forest
85,Forest
86,Forest
87,PermanentCrop
88,Forest
89,Forest
90,Forest
91,Residential
92,Forest
93,Forest
94,Forest
95,Forest
96,River
97,Forest
98,Residential
99,Highway
100,Forest
101,Residential
102,Forest
103,Residential
104,Pasture
105,Residential
106,Forest
107,Pasture
108,Forest
109,Industrial
110,Industrial
111,River
112,Forest
113,HerbaceousVegetation
114,Residential
115,Forest
116,Forest
117,River
118,Forest
119,Industrial
120,Forest
121,Forest
122,AnnualCrop
123,Forest
124,Pasture
125,Forest
126,Forest
127,River
128,Highway
129,Industrial
130,Industrial
131,HerbaceousVegetation
132,Forest
133,Forest
134,River
135,Highway
136,Forest
137,Forest
138,Highway
139,Forest
140,AnnualCrop
141,Forest
142,PermanentCrop
143,Forest
144,PermanentCrop
145,Highway
146,Forest
147,Forest
148,River
149,Forest
150,Forest
151,Highway
152,Pasture
153,Industrial
154,River
155,Forest
156,Forest
157,Industrial
158,Highway
159,HerbaceousVegetation
160,Residential
161,Residential
162,Residential
163,Pasture
164,Industrial
165,Residential
166,River
167,Highway
168,River
169,HerbaceousVegetation
170,River
171,Forest
172,River
173,Forest
174,Industrial
175,Forest
176,Residential
177,Forest
178,River
179,Forest
180,Industrial
181,Forest
182,Forest
183,River
184,AnnualCrop
185,HerbaceousVegetation
186,Forest
187,Forest
