test_id,label
0,Forest
1,River
2,Forest
3,River
4,Highway
5,Highway
6,River
7,River
8,Forest
9,Forest
10,River
11,River
12,AnnualCrop
13,PermanentCrop
14,Forest
15,Forest
16,River
17,River
18,Highway
19,SeaLake
20,Forest
21,River
22,River
23,River
24,River
25,Industrial
26,Highway
27,Forest
28,Forest
29,Industrial
30,Highway
31,Highway
32,SeaLake
33,AnnualCrop
34,Forest
35,Highway
36,River
37,River
38,River
39,River
40,Forest
41,Pasture
42,HerbaceousVegetation
43,River
44,Forest
45,Pasture
46,Forest
47,SeaLake
48,Forest
49,Forest
50,Highway
51,SeaLake
52,SeaLake
53,Forest
54,Industrial
55,Highway
56,Residential
57,River
58,River
59,PermanentCrop
60,Forest
61,River
62,Highway
63,HerbaceousVegetation
64,River
65,River
66,River
67,River
68,SeaLake
69,SeaLake
70,River
71,River
72,River
73,River
74,Highway
75,Highway
76,AnnualCrop
77,Highway
78,Forest
79,River
80,Highway
81,Forest
82,HerbaceousVegetation
83,Highway
84,River
85,River
86,SeaLake
87,Pasture
88,Forest
89,River
90,Forest
91,AnnualCrop
92,River
93,River
94,Highway
95,SeaLake
96,Forest
97,River
98,Residential
99,Forest
100,SeaLake
101,PermanentCrop
102,Forest
103,Residential
104,Highway
105,Highway
106,Forest
107,Forest
108,River
109,Industrial
110,River
111,Pasture
112,Forest
113,Forest
114,Forest
115,River
116,Forest
117,Forest
118,River
119,Industrial
120,SeaLake
121,River
122,Highway
123,River
124,Pasture
125,SeaLake
126,Forest
127,Highway
128,Highway
129,River
130,Forest
131,Forest
132,SeaLake
133,Forest
134,River
135,Highway
136,Forest
137,Forest
138,River
139,SeaLake
140,Highway
141,SeaLake
142,AnnualCrop
143,River
144,Pasture
145,River
146,River
147,Forest
148,Highway
149,Forest
150,Forest
151,Pasture
152,River
153,Highway
154,Forest
155,River
156,River
157,Highway
158,Highway
159,Forest
160,AnnualCrop
161,HerbaceousVegetation
162,Residential
163,Forest
164,Industrial
165,AnnualCrop
166,Pasture
167,Pasture
168,Highway
169,HerbaceousVegetation
170,River
171,River
172,HerbaceousVegetation
173,River
174,Pasture
175,River
176,AnnualCrop
177,Forest
178,Forest
179,SeaLake
180,AnnualCrop
181,River
182,Forest
183,Pasture
184,AnnualCrop
185,Forest
186,Forest
187,SeaLake
188,Highway
189,River
190,River
191,River
192,Residential
193,Residential
194,SeaLake
195,Forest
196,Forest
197,River
198,Forest
199,AnnualCrop
200,Forest
201,River
202,Pasture
203,Highway
204,River
205,River
206,Forest
207,Highway
208,Forest
209,River
210,SeaLake
211,Forest
212,PermanentCrop
213,Forest
214,Forest
215,Forest
216,River
217,AnnualCrop
218,Forest
219,River
220,Forest
221,River
222,Highway
223,Forest
224,SeaLake
225,River
226,River
227,Forest
228,Forest
229,Highway
230,River
231,Highway
232,Forest
233,River
234,Highway
235,AnnualCrop
236,Forest
237,River
238,Highway
239,Residential
240,SeaLake
241,Forest
242,River
243,HerbaceousVegetation
244,Forest
245,Industrial
246,Forest
247,AnnualCrop
248,River
249,Forest
250,River
251,River
252,Industrial
253,Forest
254,Highway
255,Forest
256,Highway
257,Forest
258,River
259,Forest
260,PermanentCrop
261,River
262,Forest
263,River
264,Forest
265,Highway
266,SeaLake
267,Highway
268,River
269,Forest
270,River
271,River
272,Highway
273,PermanentCrop
274,River
275,River
276,SeaLake
277,Forest
278,Forest
279,River
280,River
281,River
282,River
283,AnnualCrop
284,AnnualCrop
285,Forest
286,Highway
287,Forest
288,Highway
289,AnnualCrop
290,Forest
291,Forest
292,River
293,Highway
294,Highway
295,SeaLake
296,Residential
297,River
298,SeaLake
299,Residential
300,River
301,Highway
302,AnnualCrop
303,Highway
304,River
305,Forest
306,River
307,Highway
308,Highway
309,River
310,River
311,AnnualCrop
312,Forest
313,River
314,PermanentCrop
315,River
316,AnnualCrop
317,Highway
318,River
319,Forest
320,SeaLake
321,Forest
322,River
323,Forest
324,Highway
325,River
326,River
327,River
328,Forest
329,Highway
330,River
331,Forest
332,AnnualCrop
333,Highway
334,Forest
335,Forest
336,River
337,Highway
338,Highway
339,Highway
340,Highway
341,Forest
342,River
343,River
344,Highway
345,River
346,AnnualCrop
347,Forest
348,AnnualCrop
349,River
350,Highway
351,Forest
352,Highway
353,River
354,Forest
355,AnnualCrop
356,River
357,SeaLake
358,River
359,Forest
360,River
361,Highway
362,River
363,Industrial
364,Forest
365,River
366,HerbaceousVegetation
367,Highway
368,Industrial
369,River
370,AnnualCrop
371,River
372,SeaLake
373,Highway
374,River
375,Highway
376,River
377,Highway
378,Forest
379,Highway
380,River
381,Highway
382,River
383,HerbaceousVegetation
384,Industrial
385,AnnualCrop
386,Forest
387,HerbaceousVegetation
388,Industrial
389,HerbaceousVegetation
390,HerbaceousVegetation
391,River
392,Highway
393,Forest
394,AnnualCrop
395,Forest
396,River
397,Highway
398,River
399,Forest
400,AnnualCrop
401,Forest
402,Forest
403,Forest
404,River
405,River
406,River
407,River
408,Highway
409,Forest
410,Industrial
