test_id,label
0,AnnualCrop
1,HerbaceousVegetation
2,AnnualCrop
3,River
4,River
5,HerbaceousVegetation
6,AnnualCrop
7,River
8,Residential
9,River
10,AnnualCrop
11,AnnualCrop
12,Industrial
13,Industrial
14,HerbaceousVegetation
15,Industrial
16,HerbaceousVegetation
17,AnnualCrop
18,SeaLake
19,Industrial
20,AnnualCrop
21,AnnualCrop
22,AnnualCrop
23,Industrial
24,Industrial
25,Highway
26,HerbaceousVegetation
27,AnnualCrop
28,Industrial
29,AnnualCrop
30,AnnualCrop
31,River
32,AnnualCrop
33,AnnualCrop
34,Residential
35,Industrial
36,PermanentCrop
37,PermanentCrop
38,Highway
39,River
40,AnnualCrop
41,River
42,River
43,AnnualCrop
44,Industrial
45,AnnualCrop
46,Industrial
47,Industrial
48,AnnualCrop
49,River
50,Highway
51,Forest
52,Industrial
53,Industrial
54,AnnualCrop
55,Residential
56,PermanentCrop
57,River
58,AnnualCrop
59,AnnualCrop
60,SeaLake
61,Industrial
62,River
63,AnnualCrop
64,Industrial
65,River
66,HerbaceousVegetation
67,Highway
68,AnnualCrop
69,AnnualCrop
70,River
71,Forest
72,River
73,AnnualCrop
74,HerbaceousVegetation
75,AnnualCrop
76,AnnualCrop
77,Industrial
78,HerbaceousVegetation
79,AnnualCrop
80,AnnualCrop
81,Highway
82,River
83,Highway
84,AnnualCrop
85,AnnualCrop
86,AnnualCrop
87,AnnualCrop
88,AnnualCrop
89,AnnualCrop
90,Industrial
91,River
92,Industrial
93,AnnualCrop
94,AnnualCrop
95,AnnualCrop
96,Forest
97,Industrial
98,River
99,AnnualCrop
100,PermanentCrop
101,SeaLake
102,AnnualCrop
103,PermanentCrop
104,AnnualCrop
105,River
106,Industrial
107,HerbaceousVegetation
108,AnnualCrop
109,AnnualCrop
110,AnnualCrop
111,AnnualCrop
112,AnnualCrop
113,River
114,AnnualCrop
115,AnnualCrop
116,PermanentCrop
117,AnnualCrop
118,AnnualCrop
119,Industrial
120,River
121,Industrial
122,Industrial
123,AnnualCrop
124,River
125,Highway
126,AnnualCrop
127,AnnualCrop
128,River
129,AnnualCrop
130,Industrial
131,AnnualCrop
132,AnnualCrop
133,Highway
134,River
135,Highway
136,AnnualCrop
137,AnnualCrop
138,River
139,Industrial
140,Industrial
141,AnnualCrop
142,AnnualCrop
143,AnnualCrop
144,AnnualCrop
145,Industrial
146,Industrial
147,Industrial
148,Industrial
149,AnnualCrop
150,Highway
151,AnnualCrop
152,AnnualCrop
153,Industrial
154,AnnualCrop
155,AnnualCrop
156,HerbaceousVegetation
157,Industrial
158,AnnualCrop
159,AnnualCrop
160,AnnualCrop
161,Industrial
162,Residential
163,Highway
164,AnnualCrop
165,AnnualCrop
166,Industrial
167,HerbaceousVegetation
168,AnnualCrop
169,Residential
170,Residential
171,HerbaceousVegetation
172,River
173,AnnualCrop
174,AnnualCrop
175,River
176,Industrial
177,AnnualCrop
178,AnnualCrop
179,Highway
180,AnnualCrop
181,AnnualCrop
182,River
183,AnnualCrop
184,AnnualCrop
185,Industrial
186,Highway
187,River
188,Highway
189,River
190,AnnualCrop
191,Industrial
192,Residential
193,AnnualCrop
194,Industrial
195,HerbaceousVegetation
196,AnnualCrop
197,River
198,Industrial
199,River
200,Forest
201,River
202,River
203,Highway
204,HerbaceousVegetation
205,AnnualCrop
206,Highway
207,AnnualCrop
208,HerbaceousVegetation
209,PermanentCrop
210,Industrial
211,Industrial
212,AnnualCrop
213,Highway
214,AnnualCrop
215,River
216,AnnualCrop
217,River
218,HerbaceousVegetation
219,AnnualCrop
220,Highway
221,AnnualCrop
222,Industrial
223,AnnualCrop
224,River
225,River
226,AnnualCrop
227,AnnualCrop
228,AnnualCrop
229,AnnualCrop
230,HerbaceousVegetation
231,AnnualCrop
232,Highway
233,Highway
234,HerbaceousVegetation
235,Industrial
236,AnnualCrop
237,Industrial
238,Industrial
239,HerbaceousVegetation
240,HerbaceousVegetation
241,AnnualCrop
242,Highway
243,AnnualCrop
244,Residential
245,AnnualCrop
246,River
247,AnnualCrop
248,River
249,River
250,AnnualCrop
251,HerbaceousVegetation
252,Pasture
253,AnnualCrop
254,Highway
255,HerbaceousVegetation
256,AnnualCrop
257,River
258,SeaLake
259,AnnualCrop
260,AnnualCrop
261,AnnualCrop
262,PermanentCrop
263,River
264,AnnualCrop
265,Industrial
266,River
267,AnnualCrop
268,Forest
269,AnnualCrop
270,Highway
271,AnnualCrop
272,Industrial
273,HerbaceousVegetation
274,River
275,AnnualCrop
276,River
277,Industrial
278,AnnualCrop
279,AnnualCrop
280,AnnualCrop
281,Industrial
282,AnnualCrop
283,Industrial
284,River
285,Industrial
286,AnnualCrop
287,River
288,River
289,Industrial
290,River
291,AnnualCrop
292,AnnualCrop
293,AnnualCrop
294,HerbaceousVegetation
295,Industrial
296,Industrial
297,Industrial
298,Industrial
299,AnnualCrop
300,HerbaceousVegetation
301,AnnualCrop
302,River
303,AnnualCrop
304,Highway
305,HerbaceousVegetation
306,AnnualCrop
307,Industrial
308,Industrial
309,AnnualCrop
310,Industrial
311,AnnualCrop
312,River
313,River
314,Industrial
315,AnnualCrop
316,PermanentCrop
317,AnnualCrop
318,River
319,Residential
320,River
321,Industrial
322,AnnualCrop
323,AnnualCrop
324,HerbaceousVegetation
325,HerbaceousVegetation
326,AnnualCrop
327,River
328,AnnualCrop
329,River
330,Industrial
331,River
332,River
333,AnnualCrop
334,Industrial
335,Highway
336,Industrial
337,AnnualCrop
338,HerbaceousVegetation
339,Industrial
340,HerbaceousVegetation
341,River
342,AnnualCrop
343,Industrial
344,Forest
345,Highway
346,AnnualCrop
347,AnnualCrop
348,AnnualCrop
349,Residential
350,AnnualCrop
351,Industrial
352,AnnualCrop
353,Highway
354,Highway
355,AnnualCrop
356,AnnualCrop
357,AnnualCrop
358,River
359,AnnualCrop
360,River
361,Industrial
362,River
363,AnnualCrop
364,Industrial
365,AnnualCrop
366,River
367,AnnualCrop
368,River
369,AnnualCrop
370,Industrial
371,River
372,Forest
373,AnnualCrop
374,AnnualCrop
375,AnnualCrop
376,Industrial
377,River
378,AnnualCrop
379,AnnualCrop
380,AnnualCrop
381,HerbaceousVegetation
382,SeaLake
383,River
384,AnnualCrop
385,AnnualCrop
386,River
387,River
388,Industrial
389,Industrial
390,HerbaceousVegetation
391,Industrial
392,Industrial
393,AnnualCrop
394,River
395,AnnualCrop
396,AnnualCrop
397,AnnualCrop
398,HerbaceousVegetation
399,River
400,AnnualCrop
401,Forest
402,AnnualCrop
403,Industrial
404,Forest
405,AnnualCrop
406,SeaLake
407,AnnualCrop
408,River
409,AnnualCrop
410,River
411,AnnualCrop
412,River
413,HerbaceousVegetation
414,AnnualCrop
415,Highway
416,River
417,AnnualCrop
418,Industrial
419,River
420,Industrial
421,AnnualCrop
422,River
423,River
424,HerbaceousVegetation
425,Residential
426,Industrial
427,Industrial
428,HerbaceousVegetation
429,Industrial
430,River
431,Industrial
432,AnnualCrop
433,River
434,Highway
435,River
436,Industrial
437,Residential
438,AnnualCrop
439,AnnualCrop
440,Industrial
441,River
442,River
443,Highway
444,AnnualCrop
445,River
446,AnnualCrop
447,Highway
448,HerbaceousVegetation
449,River
450,AnnualCrop
451,HerbaceousVegetation
452,AnnualCrop
453,River
454,AnnualCrop
455,River
456,AnnualCrop
457,AnnualCrop
458,River
459,River
460,River
461,HerbaceousVegetation
462,Industrial
463,SeaLake
464,River
465,AnnualCrop
466,Highway
467,AnnualCrop
468,River
469,Industrial
470,HerbaceousVegetation
471,HerbaceousVegetation
472,SeaLake
473,AnnualCrop
474,AnnualCrop
475,Residential
476,AnnualCrop
477,AnnualCrop
478,AnnualCrop
479,River
480,HerbaceousVegetation
481,AnnualCrop
482,Highway
483,AnnualCrop
484,Industrial
485,River
486,Industrial
487,Highway
488,Industrial
489,River
490,AnnualCrop
491,Highway
492,Industrial
493,River
494,AnnualCrop
495,Highway
496,River
497,AnnualCrop
498,AnnualCrop
499,AnnualCrop
500,River
501,AnnualCrop
502,AnnualCrop
503,River
504,AnnualCrop
505,Industrial
506,AnnualCrop
507,AnnualCrop
508,Industrial
509,Industrial
510,AnnualCrop
511,HerbaceousVegetation
512,PermanentCrop
513,Residential
514,Highway
515,Industrial
516,Highway
517,HerbaceousVegetation
518,AnnualCrop
519,AnnualCrop
520,AnnualCrop
521,AnnualCrop
522,River
523,Forest
524,AnnualCrop
525,SeaLake
526,River
527,AnnualCrop
528,HerbaceousVegetation
529,River
530,Highway
531,AnnualCrop
532,AnnualCrop
533,Industrial
534,Industrial
535,HerbaceousVegetation
536,AnnualCrop
537,Highway
538,PermanentCrop
539,River
540,AnnualCrop
541,AnnualCrop
542,River
543,River
544,AnnualCrop
545,Industrial
546,AnnualCrop
547,AnnualCrop
548,AnnualCrop
549,River
550,HerbaceousVegetation
551,Highway
552,River
553,Industrial
554,AnnualCrop
555,River
556,River
557,AnnualCrop
558,Industrial
559,Forest
560,AnnualCrop
561,AnnualCrop
562,River
563,Residential
564,Highway
565,Residential
566,Industrial
567,Highway
568,River
569,Highway
570,River
571,AnnualCrop
572,River
573,AnnualCrop
574,Industrial
575,AnnualCrop
576,HerbaceousVegetation
577,HerbaceousVegetation
578,River
579,Industrial
580,River
581,River
582,HerbaceousVegetation
583,Highway
584,River
585,Industrial
586,Industrial
587,Industrial
588,AnnualCrop
589,River
590,River
591,AnnualCrop
592,AnnualCrop
593,Highway
594,Residential
595,River
596,AnnualCrop
597,River
598,Industrial
599,Industrial
600,AnnualCrop
601,River
602,AnnualCrop
603,AnnualCrop
604,Industrial
605,Industrial
606,Industrial
607,HerbaceousVegetation
608,AnnualCrop
609,River
610,River
611,AnnualCrop
612,Industrial
613,AnnualCrop
614,AnnualCrop
615,Industrial
616,AnnualCrop
617,Industrial
618,AnnualCrop
619,HerbaceousVegetation
620,AnnualCrop
621,River
622,River
623,Highway
624,River
625,Forest
626,Industrial
627,River
628,AnnualCrop
629,AnnualCrop
630,AnnualCrop
631,AnnualCrop
632,Highway
633,AnnualCrop
634,Industrial
635,Industrial
636,River
637,HerbaceousVegetation
638,Industrial
639,River
640,Highway
641,River
642,Industrial
643,HerbaceousVegetation
644,AnnualCrop
645,AnnualCrop
646,River
647,Forest
648,AnnualCrop
649,AnnualCrop
650,Industrial
651,AnnualCrop
652,AnnualCrop
653,AnnualCrop
654,AnnualCrop
655,River
656,AnnualCrop
657,AnnualCrop
658,AnnualCrop
659,Industrial
660,Forest
661,Industrial
662,HerbaceousVegetation
663,AnnualCrop
664,AnnualCrop
665,AnnualCrop
666,Industrial
667,Highway
668,River
669,AnnualCrop
670,Highway
671,Industrial
672,Highway
673,Industrial
674,Residential
675,River
676,Industrial
677,HerbaceousVegetation
678,River
679,Forest
680,AnnualCrop
681,AnnualCrop
682,River
683,HerbaceousVegetation
684,Industrial
685,Highway
686,AnnualCrop
687,AnnualCrop
688,AnnualCrop
689,AnnualCrop
690,AnnualCrop
691,AnnualCrop
692,Industrial
693,AnnualCrop
694,AnnualCrop
695,AnnualCrop
696,Industrial
